entry_number,entry_type,author_year_key,chapters_1_7_citation_or_reference,coverage_mechanism,present_in_bibliography_or_legislation,bidirectional_status,notes
B16,Bibliography,Tower Hamlets Local History Library and Archives (n.d.),§1.1,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B17,Bibliography,Whitechapel Board of Works (1891),§3.3 explicit annual citation; §5.3; §6.2,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B18,Bibliography,Whitechapel Board of Works (1892),§3.3 explicit annual citation,Explicit Whitechapel Board of Works (1892) citation in §3.3.,YES,PASS,Annual report b19883663 is explicitly represented by the 1892 year in the §3.3 parenthetical citation.
B19,Bibliography,Whitechapel Board of Works (1893),§3.3 explicit annual citation; §5.2–§5.3; §6.3; §6.5,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B20,Bibliography,Whitechapel Board of Works (1894),§3.3 explicit annual citation; §5.4,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B21,Bibliography,Whitechapel Board of Works (1895),§3.3 explicit annual citation; §4.6; §5.4; §6.2; §6.4–§6.5,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B22,Bibliography,Whitechapel Board of Works (1896),§3.3 explicit annual citation; §4.6; §5.5; §6.4–§6.5,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B23,Bibliography,Whitechapel Board of Works (1897),§3.3 explicit annual citation; §1.1,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B24,Bibliography,Whitechapel Board of Works (1898),§3.3 explicit annual citation; §5.5; §6.2,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B25,Bibliography,Whitechapel Board of Works (1899),§3.3 explicit annual citation; §6.2–§6.3,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
B26,Bibliography,Whitechapel Board of Works (1900),§3.3 explicit annual citation; §6.2; §6.5,The annual report year is explicitly included in the §3.3 parenthetical citation; additional individual report-year citations are listed where present.,YES,PASS,Rebuilt from the current citation-fixed dissertation; the annual year is explicitly represented in §3.3.
L01,Legislation,UK Parliament (1855),§1.1,Act named in the main text and present under Legislation.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
L02,Legislation,UK Parliament (1890),§6.2; §6.5,Act named in the main text and present under Legislation.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
