address,old_x,old_y,new_x,new_y,status,spatial_precision,number_precision,evidence_basis,verification_note,changed,reason_for_change
29 Old Montague Street,6350,2345,6350,2540,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the western Old Montague Street alignment; No. 29 is not doorway-verified.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
3 Spelman Street,6520,1730,6650,1650,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Spelman Street alignment; No. 3 is not independently resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
39 Pelham Street,6650,1160,6650,1160,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Pelham Street alignment; No. 39 is not independently resolved.,no,Existing point remained consistent with the full-resolution scan review.
43 Buxton Street,7700,730,7700,780,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Buxton Street alignment; No. 43 is not independently resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
5 Cox Square,5180,1650,4950,2575,representative_site,representative_site,house_number_unverified,Cox's Square is labelled on the supplied Booth scan; source listing https://wellcomelibrary.org/moh/report/b18018348/45,"The square is identifiable, but No. 5 cannot be separated from No. 7. Both use one square-level representative coordinate.",yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
58 White Lion Street,5250,1070,4850,1075,visible_street_segment,street_level_only,house_number_unverified,White Lion Street is labelled on the supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,"Candidate lies directly on the labelled White Lion Street, correcting the prior point near Great Pearl Street; No. 58 is not independently resolved.",yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
6 Fieldgate Street,7700,2640,7700,2640,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Fieldgate Street alignment; No. 6 is not independently resolved.,no,Existing point remained consistent with the full-resolution scan review.
62 Chicksand Street,7000,1970,7000,1930,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Chicksand Street alignment; No. 62 is not independently resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
7 Cox Square,5200,1660,4950,2575,representative_site,representative_site,house_number_unverified,Cox's Square is labelled on the supplied Booth scan; source listing https://wellcomelibrary.org/moh/report/b18018348/45,"The square is identifiable, but No. 7 cannot be separated from No. 5. Both use one square-level representative coordinate.",yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
7 Ely Place,6580,2080,6580,2140,visible_historical_place,historical_place_site,house_number_unverified,Ely Place is legible between Chicksand and Finch Streets on the supplied scan; Survey of London https://surveyoflondon.org/map/feature/243/detail/; 1891 census https://census1891.com/rg12-276sum.php,"The historical place is identifiable on the scan and corroborated by the census enumeration, but No. 7 is not independently resolved.",yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
9 Shepherd Street,5450,2380,5325,2380,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Shepherd Street alignment; No. 9 is not independently resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
