audit_term,report_year,passage_id,passage_text
lodging-house,1893,1893_0023,"The question is of such vital importance to the health of the inhabitants, that I hope some means may be found to avert a repetition of last year's experience. So far as the general quality of the District water supply is concerned, the official returns leave little to be desired. I have generally included in my Report some particulars concerning Registered Common Lodging-houses, and 1 again do so. It has been decided by the Home Secretary that so soon as arrangements can be made, he will transfer the jurisdiction of this class of Lodging-house from the police to the Local Authorities, so far as the Sanitary overlooking of them will be concerned. The police will still retain the right of entry for other purposes. I can only express a hope that the new plan will be as successful as the old plan has been. I have also appended a list of so-called philanthropic shelters within the District. These are in reality Common Lodging-houses b 2 10 not registered. I trust the time will soon arrive when all places set apart for the lodging of the very poor will be benefitted by the official inspections, to which the registered houses have long been subjected."
lodging-house,1893,1893_0083,"The occupier of any premises shall once at least in every week cause every earthcloset, privy and receptacle for dung belonging to such premises to be emptied and thoroughly cleansed. The occupier of any premises shall once at least in every three months cause every cesspool belonging to such premises to be emptied and thoronghly cleansed. Provided that where two or more lodgers in a lodging-house are entitled to the use in common of any watercloset, earthcloset, privy, cesspool, or receptacle for dung, the landlord shall cause such watercloset, earthcloset, privy, cesspool, or receptacle for dung to be cleansed and emptied as aforesaid. The landlord, or owner of any lodging-house, shall provide and maintain in connection with such house, watercloset, earthcloset or privy accommodation in the proportion of not less than one watercloset, earthcloset, or privy, for every twelve persons."
lodging-house,1893,1893_0087,"In these bye-laws, unless the context otherwise requires, the following words and expressions have the meanings hereinafter respectively assigned to them ; that is to say,� "" Sanitary Authority"" means the Board of Works for the Whitechapel District. ""Lodging-house"" means a house or part of a house which is let in lodgings or occupied by members of more than one family. ""Landlord,"" in relation to a house or part of a house which is let in lodgings or occupied by members of more than one family, means the person (whatever may be the nature or extent of his interest in the premises) by whom or on whose behalf such house or part of a house is let in lodgings or for occupation by members of more than one family, or who for the time being receives, or is entitled to receive the profits arising from such letting. ""Lodger,"" in relation to a house or part of a house which is let in lodgings or occupied by members of more than one family, means a person to whom any rooms, room, or part of a room, in such house or part of a house may have been let as a lodging or for his use and occupation."
lodging-house,1893,1893_0088,"Exempted Houses. 2. In either of the following cases a lodging-house shall be exempted from the operation of these bye-laws; that is to say,� (a) Where the rent or charge payable by each lodger, and exclusive of any charge for the use by such lodger of any furniture, is at a rate exceeding five shillings per week. (b) Where the rent or charge payable by each lodger, and inclusive of any charge for the use by such lodger of any furniture, is at a rate exceeding seven shillings and sixpence per week. 53 (a) For fixing the number of persons who may occupy a house or part of a house which is let in lodgings or occupied by members of more than one family. 3. The landlord of a lodging-house, or a lodger therein, shall not knowingly cause or suffer a greater number of persons than will admit of the provision of three hundred cubic feet of free air space for each person of an age exceeding ten years, and of one hundred and fifty cubic feet of free air space for each person of an age not exceeding ten years to occupy, at any one time, as a sleeping apartment, a room which is used exclusively for that purpose, and which is under the control of such landlord, or which has been let to such lodger, respectively, as the case may be."
lodging-house,1893,1893_0089,"4. The landlord of a lodging-house, or a lodger therein, shall not knowingly cause or suffer a greater number of persons than will admit of the provision of four hundred cubic feet of free air space for each person of an age exceeding ten years, and of two hundred cubic feet of free air space for each person of an age not exceeding ten years to occupy, at any one time, as a sleeping apartment, a room which is not used exclusively for that purpose, and which is under the control of such landlord, or which has been let to such lodger respectively, as the case may be. (b) For the registration of houses so let or occupied. 5."
lodging-house,1893,1893_0090,"The landlord of a lodging-house, within a period of fourteen days after he shall have been required by a notice in writing, signed by the Clerk to the Sanitary Authority, and duly served upon or delivered to such landlord, to supply the information necessary for the registration of such house by the Sanitary Authority, shall, himself, or by his agent duly authorised in that behalf, sign and furnish to the Sanitary Authority a true statement of the following particulars with respeCt to such house ; that is to say,� (a) The total number of rooms in the house : (b) The total number of rooms let in lodgings or occupied by members of more than one family: (c) The manner of use of each room : (d) The number, age, and sex of the occupants of each room used for sleeping : (e) The Christian name and surname of the lessee of each room; and (f) The amount of rent or charge per day or per week payable by each lessee. (c) For the Inspection of such houses."
lodging-house,1893,1893_0091,"6. In any case where the landlord of a lodging-house occupies or resides in any part of the premises, or retains a general possession or control of the premises, such landlord, and in any case where the landlord of a lodging-house does not occupy or reside in any 54 part of the premises, or retain a general possession or control of the premises, every lodger who is entitled to have or to exercise the control of the outer door of the premises shall, at all times when required by the Medical Officer of Health, the Sanitary Inspector, or any other officer specially appointed or authorised by the Sanitary Anthority in that behalf, afford any such officer free access to the interior of the premises for the purpose of inspection. 7. Every lodger in a lodging-house shall, at all times when required by the Medical Officer of Health, the Sanitary inspector or any other officer specially appointed or authorised by the Sanitary Authority in that behalf, afford any such officer free access for the purpose of inspection to the interior of any room or rooms which may have been let to such lodger."
lodging-house,1893,1893_0092,"8. Where the Medical Officer of Health, the Sanitary Inspector, or any other officer specially appointed or authorised by the Sanitary Authority in that behalf, has, for the purpose of inspection, obtained access to the interior of a lodging-house or to the interior of any room or rooms in such house, a person shall not wilfuly obstruct any such officer in the inspection of any part of the premises, or, without reasonable excuse, neglect or refuse, when required by any such officer, to render him such assistance as may be reasonably necessary for the purpose of such inspection. (d) For enforcing drainage for such houses, and for promoting cleanliness and ventilation in such houses. 9. The landlord of a lodging-house shall in all cases provide an adequate supply of water for the use of the lodgers. 10. In any case where a lodger in a lodging-house is entitled to the exclusive use of any court, court-yard, area, or other open space within the curtilage of the premises, such lodger, and in any case where two or more lodgers in a lodging-house are entitled to the use in common of any court, court-yard, area, or other open space within the curtilage of the premises, the landlord shall cause such court, court-yard, area, or other open space to be thoroughly cleansed from time to time as often as may be requisite for the purpose of keeping the same in a cleanly condition."
lodging-house,1893,1893_0093,"11. The landlord of a lodging-house shall cause every drain or means of drainage with which any water-closet belonging to such house may communicate to be maintained at all times in good order and efficient action. He shall also cause all such means of ventilation as may be provided in or in connection therewith to be maintained at all times in good order. 12. Every lodger in a lodging-house shall cause all solid or liquid filth or refuse to be removed once at least in every day from every room which has been let to him, and shall once at least in every day cause every vessel, utensil, or other receptacle for such filth or refuse to be thoroughly cleansed. 13. In every case where a lodger in a lodging-house is entitled to the exclusive use of any staircase, landing or passage in 55 such house, such lodger shall cause every part of such staircase, landing or passage to be thoroughly cleansed from time to time as often as may be requisite. 14. A lodger in a lodging-house shall not cause or suffer any animal to be kept in any room which has been let to such lodger or elsewhere upon the premises in such a manner as to render the condition of such room or premises filthy."
lodging-house,1893,1893_0094,"15. The landlord of a lodging-house shall cause every common passage or staircase in such house to be thoroughly cleansed from time to time as often as may be requisite. (e) For the cleansing and lime-washing at stated times of the premises. 16. The landlord of a lodging-house shall, in the first week of the month of April in every year, and at any other time when necessary cause every part of the premises to be cleansed. He shall, at the same time, except in such cases as are hereinafter specified, cause every area, the interior surface of every ceiling and wall of every water-closet belonging to the premises, and the interior surface of every ceiling and wall of every room, staircase, and passage in the house to be thoroughly limewashed. Provided that the foregoing requirement with respect to the lime-washing of the internal suface of the walls of rooms, staircases, and passages shall not apply in any case where the internal surface of any such wall is painted, or where the material of or with which such surface is contructed or covered is such as to render the lime-washing thereof unsuitable or inexpedient, and where such surface is thoroughly cleansed, and the paint or other covering is renewed, if the renewal thereof be necessary for the purpose of keeping the premises in a cleanly and wholesome condition."
lodging-house,1893,1893_0095,"17. The landlord of a lodging-house shall provide adequate means of ventilation in or in connection with every common passage or staircase in such house, and shall cause such means of ventilation to be maintained at all times in good order. 18. The landlord of a lodging-house shall cause all such means of ventilation as may be provided in or in connection with any room in such house to be maintained at all times in good order. (f) For the taking of precautions in case of any infectious disease. 19. In every case where, in pursuance of any statutory provision in that behalf, an order of a justice has been obtained for the removal from a lodging-house to a hospital of a person who is suffering from any dangerous infectious disease and is without proper lodging or accommodation, the landlord of such house, and the lodger to whom any room whereof such person may be an occupant has been let shall, on being imformed of such order, forthwith take all such steps as may be requisite on the part of 56 such landlord and of such lodger, respectively, to secure the safe and prompt removal of such person in compliance with such order, and shall, in and about such removal, adopt all such precautions as, in accordance with any instructions which such landlord and such lodger, respectively, may receive from the Medical Officer of Health of the Sanitary Authority, may be most suitable for the circumstances of the case."
lodging-house,1899,1899_0034,"This has now been reversed. In the course of an elaborate judgment in the Divisional Court on the 21st December last, the Lord Chief Justice said : ""We know of no better description of a common lodging house than that given by the then Law Officers, Sir Alexander Cockburn and Sir W. Page Wood, to the effect that a common lodging-house was that class of lodging-house in which persons of the poorer class are received for short periods, and although strangers to one another, are allowed to inhabit one common room."" If this be the proper description of a common lodginghouse, as we think it is, we cannot see in what material respect it differs from the Respondent's shelter. We arrive therefore, without hesitation, to the conclusion that such shelter is a common lodging house within the Act of 1853. It follows, that we think that Booth v. Ferrett was wrongly decided and that the Magistrate's decision now given was wrong in point of law. 17 Memorandum concerning the following Report and Tables: The Artizans and Labourers' Dwellings Improvement Act, 1875, resulted in your Medical Officer, Mr."
poorest,1892,1892_0026,"The Government has been requested to transfer the supervision of these houses from the police to the Local Sanitary Authorities. I must at once declare that when the class of house is taken into consideration, together with the persons who lodge therein, my* experience compels me to assert that the change proposed would not be a good one. At present the police sergeant (who acts under his superintendent) admirably supervises the arrangements for the health of the lodgers, and in matters requiring their intervention, the Sanitary Authorities are called in to co-operate. The regulations governing accommodation and ventilation are well framed under the provision of the Lodginghouses Acts, and I am sorry that all houses, where the comparatively destitute are housed, have not the advantage of similar supervision. It has been my duty on account of a case of small-pox occurring at each, to investigate the sanitary condition of two large shelters provided by a philanthropic association for sleeping the poorest persons. I will not here detail all that I have been compelled to note concerning the places themselves, and the sleeping accommodation provided; but I feel unable to answer the question which arises in my mind, namely :�What good purpose is here being served, which could not be better attained by the police registered and supervised Common-lodging Houses ?"
poorest,1898,1898_0009,"With the co-operation of the Surveyor, after a consultation with that gentleman and with the Clerks, it was arranged that water vans should be employed to take water to those houses which required it, and that regular daily flushing of water closets of such houses should be carried out. From this time until the Company renewed the constant water supply, nine men were constantly employed with three water vans in carrying on this useful work Each closet which was discovered to be choked, was cleared by means of a plunger, then pails of water were dashed down, and disinfectants were also freely used. Constant service was resumed on the 12th of December, a nine hours supply having taken place on November 23rd. In addition to the above measures, disinfection was regularly performed with per-chloride solution by an additional man. The water closets connected with nearly 300 of the houses occupied by the poorest people were thus daily treated. Whether these precautions limited the number of Infectious cases it is of course impossible to say, but it is interesting to note that the fees paid during the third quarter, for the notification of such diseases, were the lowest since any record has been kept."
poverty,1894,1894_0026,"Hamer commences his Report with certain statistical information with which the Members of the Whitechapel District Board are familiar, as they entered into their Medical Officer's Report which was issued in the early part of the present year. The Committee do not proposo to discuss the interesting figures which have been extracted from Mr. Booth's excellent book upon ""Poverty and Associated Conditions,"" because in such connection it has been shewn that theory and experience do not always agree with the results which may be deduced from such observations. It is an admitted fact that the Polish Jew, like the Native of the South of Ireland, has a strong affection for his home, be it only a single room: he will use his greatest efforts against being dislodged, even though one can prove to him that two better rooms may be provided for him elsewhere for the same rental. With regard to the other factors, such as excess of young married females, and surplus married males, mentioned by Mr. Booth, and quoted by Dr."
working class,1897,1897_0009,"A builder who desired to erect houses of a certain height applied to the London County Council for permission, and exhibited his plans. He stated that the buildings were to consist of shops with dwelling houses over ohern. They were not to be built to let for occupation by persons of the working class. Without this undertaking sanction would have been withheld, but under the circumstances permission was granted. The houses when finished were let each to one tenant who paid a weekly rental. Tnis tenant sub-let each floor, and occasionally each room. A prosecution undertaken by the London County Council, under the London Building Act, resulted in a defeat before a Magistrate. Upon appeal the Magistrate's decision was upheld. Before leaving these preliminary remarks I must state that I do not thick very much overcrowding of rooms takes place within the District. Some night visits made by your Inspectors upon specific information have not resulted in proving definite overcrowding to be present to such an extent as to warrant legal proceedings."
