entry_number,entry_type,author,year,title,publisher_or_journal,volume,issue,pages,doi,official_verification_url,in_text_citation_status,bibliography_status,verification_status,notes,dissertation_entry_as_extracted
B11,Bibliography,London County Council,1894,Report by the Medical Officer on the Sanitary Condition and Administration of Whitechapel,"London County Council, Public Health Department",,,,,https://www.wellcomelibrary.org/moh/report/b18252436/189,CITED,PRESENT,VERIFIED,"Digitised official page confirms institutional heading, 15 October 1894 date and report title.","London County Council (1894) ‘Report by the Medical Officer on the Sanitary Condition and Administration of Whitechapel’, Public Health Department, 15 October, in Report of the Medical Officer of Health for London County Council, 1894. Wellcome Collection, b18252436. Available at: https://wellcomelibrary.org/moh/report/b18252436/189 (Accessed: 10 August 2026)."
B12,Bibliography,"Mooney, Graham",2015,"Intrusive Interventions: Public Health, Domestic Space, and Infectious Disease Surveillance in England, 1840–1914",University of Rochester Press,,,292 pp.,,https://www.cambridge.org/core/books/intrusive-interventions/B57A9864ADFBEC0E94EA08D3E2E64632,CITED,PRESENT,VERIFIED,"Official publisher-distributor record confirms Graham Mooney, title, 2015 print publication and University of Rochester Press imprint.","Mooney, G. (2015) Intrusive Interventions: Public Health, Domestic Space, and Infectious Disease Surveillance in England, 1840–1914. Rochester, NY: University of Rochester Press."
B13,Bibliography,"O’Reilly, Carole",2023,Naming and Blaming: Civic Shame and Slum Journalism in Late Nineteenth-Century and Early Twentieth-Century Manchester and Birmingham,Journal of Urban History,49,3,505–519,10.1177/00961442221127055,https://journals.sagepub.com/doi/10.1177/00961442221127055,CITED,PRESENT,VERIFIED_WITH_EDITION_NOTE,Official SAGE record confirms the 2023 issue; the article was first published online in 2022.,"O’Reilly, C. (2023) ‘Naming and Blaming: Civic Shame and Slum Journalism in Late Nineteenth-Century and Early Twentieth-Century Manchester and Birmingham’, Journal of Urban History, 49(3), pp. 505–519. Available at: https://doi.org/10.1177/00961442221127055."
B14,Bibliography,"Porter, Catherine; Atkinson, Paul; Gregory, Ian N.",2018,Space and Time in 100 Million Words: Health and Disease in a Nineteenth-century Newspaper,International Journal of Humanities and Arts Computing,12,2,196–216,10.3366/ijhac.2018.0222,https://doi.org/10.3366/ijhac.2018.0222,CITED,PRESENT,VERIFIED,"DOI and institutional author record confirm authors, title, journal, volume, pages and 2018 date.","Porter, C., Atkinson, P. and Gregory, I.N. (2018) ‘Space and Time in 100 Million Words: Health and Disease in a Nineteenth-century Newspaper’, International Journal of Humanities and Arts Computing, 12(2), pp. 196–216. Available at: https://doi.org/10.3366/ijhac.2018.0222."
B15,Bibliography,"Scott, James C.",1998,Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,Yale University Press,,,,,https://search.worldcat.org/title/Seeing-like-a-state-%3A-how-certain-schemes-to-improve-the-human-condition-have-failed/oclc/895780233,CITED,PRESENT,VERIFIED_WITH_EDITION_NOTE,WorldCat confirms the 1998 Yale edition; Yale’s current product page also describes a later paperback. The dissertation’s 1998 citation is defensible.,"Scott, J.C. (1998) Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed. New Haven: Yale University Press."
B16,Bibliography,Tower Hamlets Local History Library and Archives,n.d.,"Records of the Whitechapel District Board of Works, 1855–1901",Tower Hamlets archive catalogue,,,,,https://www.thcatalogue.org.uk/calmview/Record.aspx?id=L%2FWBW&src=CalmView.Catalog,CITED,PRESENT,VERIFIED,"Official archive catalogue confirms reference L/WBW, title, date range and administrative history.","Tower Hamlets Local History Library and Archives (n.d.) ‘Records of the Whitechapel District Board of Works, 1855–1901’, L/WBW. Available at: https://www.thcatalogue.org.uk/calmview/Record.aspx?id=L%2FWBW&src=CalmView.Catalog (Accessed: 10 August 2026)."
B17,Bibliography,Whitechapel Board of Works,1891,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for 52 Weeks of the Year 1890",Penny and Hull,,,,,https://wellcomelibrary.org/moh/report/b19883651,CITED,PRESENT,VERIFIED,Wellcome report b19883651 independently resolves Whitechapel reporting year 1890 to publication year 1891 and local TXT Whitechapel_1890_b19883651_fulltext.txt.,"Whitechapel Board of Works (1891) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for 52 Weeks of the Year 1890. London: Penny and Hull. Wellcome Collection, b19883651. Available at: https://wellcomelibrary.org/moh/report/b19883651 (Accessed: 10 August 2026)."
B18,Bibliography,Whitechapel Board of Works,1892,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for 52 Weeks of the Year 1891",Penny and Hull,,,,,https://wellcomelibrary.org/moh/report/b19883663,CITED,PRESENT,VERIFIED,Wellcome report b19883663 independently resolves reporting year 1891 to publication year 1892 and local TXT Whitechapel_1891_b19883663_fulltext.txt.,"Whitechapel Board of Works (1892) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for 52 Weeks of the Year 1891. London: Penny and Hull. Wellcome Collection, b19883663. Available at: https://wellcomelibrary.org/moh/report/b19883663 (Accessed: 10 August 2026)."
B19,Bibliography,Whitechapel Board of Works,1893,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for 53 Weeks of the Year 1892",Penny and Hull,,,,,https://wellcomelibrary.org/moh/report/b19883675,CITED,PRESENT,VERIFIED,Wellcome report b19883675 independently resolves reporting year 1892 to publication year 1893 and local TXT Whitechapel_1892_b19883675_fulltext.txt.,"Whitechapel Board of Works (1893) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for 53 Weeks of the Year 1892. London: Penny and Hull. Wellcome Collection, b19883675. Available at: https://wellcomelibrary.org/moh/report/b19883675 (Accessed: 10 August 2026)."
B20,Bibliography,Whitechapel Board of Works,1894,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1893, Consisting of 52 Weeks, Being the Tenth Annual Report",Penny and Hull,,,,,https://wellcomelibrary.org/moh/report/b18018348,CITED,PRESENT,VERIFIED,Wellcome report b18018348 independently resolves reporting year 1893 to publication year 1894 and local TXT Whitechapel_1893_b18018348_fulltext.txt.,"Whitechapel Board of Works (1894) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1893, Consisting of 52 Weeks, Being the Tenth Annual Report. London: Penny and Hull. Wellcome Collection, b18018348. Available at: https://wellcomelibrary.org/moh/report/b18018348 (Accessed: 10 August 2026)."
B21,Bibliography,Whitechapel Board of Works,1895,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1894, Consisting of 52 Weeks, Being the Eleventh Annual Report","George Stevens & Co., Ltd.",,,,,https://wellcomelibrary.org/moh/report/b1801835x,CITED,PRESENT,VERIFIED,Wellcome report b1801835x independently resolves reporting year 1894 to publication year 1895 and local TXT Whitechapel_1894_b1801835x_fulltext.txt.,"Whitechapel Board of Works (1895) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1894, Consisting of 52 Weeks, Being the Eleventh Annual Report. London: George Stevens & Co., Ltd. Wellcome Collection, b1801835x. Available at: https://wellcomelibrary.org/moh/report/b1801835x (Accessed: 10 August 2026)."
B22,Bibliography,Whitechapel Board of Works,1896,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1895, Consisting of 52 Weeks, Being the Twelfth Annual Report","George Stevens & Co., Ltd.",,,,,https://wellcomelibrary.org/moh/report/b19883687,CITED,PRESENT,VERIFIED,Wellcome report b19883687 independently resolves reporting year 1895 to publication year 1896 and local TXT Whitechapel_1895_b19883687_fulltext.txt.,"Whitechapel Board of Works (1896) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1895, Consisting of 52 Weeks, Being the Twelfth Annual Report. London: George Stevens & Co., Ltd. Wellcome Collection, b19883687. Available at: https://wellcomelibrary.org/moh/report/b19883687 (Accessed: 10 August 2026)."
B23,Bibliography,Whitechapel Board of Works,1897,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1896, Consisting of 53 Weeks, Being the Thirteenth Annual Report","George Stevens & Co., Ltd.",,,,,https://wellcomelibrary.org/moh/report/b18038244,CITED,PRESENT,VERIFIED,Wellcome report b18038244 independently resolves reporting year 1896 to publication year 1897 and local TXT Whitechapel_1896_b18038244_fulltext.txt.,"Whitechapel Board of Works (1897) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1896, Consisting of 53 Weeks, Being the Thirteenth Annual Report. London: George Stevens & Co., Ltd. Wellcome Collection, b18038244. Available at: https://wellcomelibrary.org/moh/report/b18038244 (Accessed: 10 August 2026)."
B24,Bibliography,Whitechapel Board of Works,1898,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1897, Consisting of 52 Weeks, Being the Fourteenth Annual Report","George Stevens & Co., Ltd.",,,,,https://wellcomelibrary.org/moh/report/b19883699,CITED,PRESENT,VERIFIED,Wellcome report b19883699 independently resolves reporting year 1897 to publication year 1898 and local TXT Whitechapel_1897_b19883699_fulltext.txt.,"Whitechapel Board of Works (1898) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1897, Consisting of 52 Weeks, Being the Fourteenth Annual Report. London: George Stevens & Co., Ltd. Wellcome Collection, b19883699. Available at: https://wellcomelibrary.org/moh/report/b19883699 (Accessed: 10 August 2026)."
B25,Bibliography,Whitechapel Board of Works,1899,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1898, Consisting of 52 Weeks, Being the Fifteenth Annual Report","Levy & Co., Printers and Stationers",,,,,https://wellcomelibrary.org/moh/report/b19883705,CITED,PRESENT,VERIFIED,Wellcome report b19883705 independently resolves reporting year 1898 to publication year 1899 and local TXT Whitechapel_1898_b19883705_fulltext.txt.,"Whitechapel Board of Works (1899) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1898, Consisting of 52 Weeks, Being the Fifteenth Annual Report. London: Levy & Co., Printers and Stationers. Wellcome Collection, b19883705. Available at: https://wellcomelibrary.org/moh/report/b19883705 (Accessed: 10 August 2026)."
B26,Bibliography,Whitechapel Board of Works,1900,"The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1899, Consisting of 52 Weeks, Being the Sixteenth Annual Report","George Stevens & Co., Ltd.",,,,,https://wellcomelibrary.org/moh/report/b19883717,CITED,PRESENT,VERIFIED,Wellcome report b19883717 independently resolves reporting year 1899 to publication year 1900 and local TXT Whitechapel_1899_b19883717_fulltext.txt.,"Whitechapel Board of Works (1900) The Annual Report on the Sanitary Condition of the Whitechapel District, with Vital and Other Statistics, for the Year 1899, Consisting of 52 Weeks, Being the Sixteenth Annual Report. London: George Stevens & Co., Ltd. Wellcome Collection, b19883717. Available at: https://wellcomelibrary.org/moh/report/b19883717 (Accessed: 10 August 2026)."
L01,Legislation,UK Parliament,1855,Metropolis Management Act 1855 (18 & 19 Vict. c. 120),The National Archives / legislation.gov.uk,,,,,https://www.legislation.gov.uk/ukpga/Vict/18-19/120/contents,REFERRED_TO,PRESENT_IN_LEGISLATION,VERIFIED,Official legislation record confirms the Act and chapter number; the Act is named in Chapter 1.,Metropolis Management Act 1855 (18 & 19 Vict. c. 120). Available at: https://www.legislation.gov.uk/ukpga/Vict/18-19/120/contents (Accessed: 13 August 2026).
L02,Legislation,UK Parliament,1890,Housing of the Working Classes Act 1890 (53 & 54 Vict. c. 70),The National Archives / legislation.gov.uk,,,,,https://www.legislation.gov.uk/ukpga/Vict/53-54/70/contents,REFERRED_TO,PRESENT_IN_LEGISLATION,VERIFIED,Official legislation record confirms the Act and chapter number; the Act is named in Chapter 6.,Housing of the Working Classes Act 1890 (53 & 54 Vict. c. 70). Available at: https://www.legislation.gov.uk/ukpga/Vict/53-54/70/contents (Accessed: 13 August 2026).
